,cureNum,deathNum,ename,name,susNum,value
0,108,4,beijing,北京,0,380
1,5666,1596,hubei,湖北,0,56249
2,465,2,guangdong,广东,17,1316
3,456,0,zhejiang,浙江,0,1167
4,440,13,henan,河南,0,1231
5,464,3,hunan,湖南,0,1004
6,187,5,chongqing,重庆,0,547
7,255,6,anhui,安徽,0,962
8,131,3,sichuan,四川,0,481
9,173,2,shandong,山东,0,537
10,30,1,jilin,吉林,37,89
11,82,0,fujian,福建,0,287
12,240,1,jiangxi,江西,0,925
13,218,0,jiangsu,江苏,0,617
14,140,1,shanghai,上海,157,328
15,49,2,guangxi,广西,0,237
16,52,4,hainan,海南,0,162
17,71,0,shanxis,陕西,189,236
18,105,3,hebei,河北,26,300
19,79,11,heilongjiang,黑龙江,122,445
20,40,1,liaoning,辽宁,0,121
21,42,0,yunnan,云南,108,171
22,45,3,tianjin,天津,0,124
23,49,0,shanxi,山西,0,128
24,54,2,gansu,甘肃,0,90
25,8,0,neimenggu,内蒙古,0,70
26,2,1,taiwan,台湾,0,20
27,5,0,aomen,澳门,0,10
28,2,1,xianggang,香港,0,57
29,46,1,guizhou,贵州,0,144
30,1,0,xizang,西藏,0,1
31,13,0,qinghai,青海,0,18
32,12,1,xinjiang,新疆,0,71
33,33,0,ningxia,宁夏,0,70
